,en,en_perso,fr,fr_perso,es,de,se
bd,0.002875,0.00335,0.00586,0.00306,0.00355,0.01595,0.00259
be,0.513255,0.60797,0.09895,0.15156,0.13462,1.17489,0.37557
bf,0.000945,0.01495,0.00083,0.00748,0.00026,0.00609,0.00263
bg,0.0006,0,0.00039,0,0.00024,0.0232,0.00101
bh,0.002315,0.00022,0.00103,0,0.00051,0.01014,0.00307
bi,0.103675,0.08102,0.11143,0.13831,0.25234,0.17174,0.11193
bj,0.01488,0.01049,0.01047,0.00374,0.00986,0.00489,0.01557
bk,0.000355,0,0.00052,0,0.00017,0.00481,0.00232
bl,0.19696,0.29104,0.1875,0.29122,0.16146,0.08433,0.19594
bm,0.003785,0.0029,0.00138,0,0.0011,0.00803,0.00288
bn,0.00227,0.00179,0.00184,0.00442,0.00094,0.0161,0.00279
bo,0.192205,0.20199,0.10386,0.21238,0.08561,0.05871,0.16761
bp,0.001605,0,0.00134,0.00102,0.00068,0.00253,0.00167
bq,0.00007,0,0.00041,0,0.00038,0.00009,0.00003
br,0.109215,0.11561,0.1493,0.19064,0.22072,0.11698,0.14808
bs,0.039215,0.03437,0.02139,0.02447,0.01665,0.07151,0.01466
bt,0.0135,0.00826,0.01077,0.0068,0.00544,0.04699,0.00566
bu,0.186285,0.23747,0.06841,0.05199,0.06638,0.11062,0.07202
bv,0.00331,0.01406,0.00097,0.0017,0.00397,0.00511,0.0013
bw,0.00177,0,0.00037,0,0.00014,0.01341,0.0007
bx,0.00005,0,0.00007,0,0.00001,0.00008,0.00006
by,0.148735,0.15221,0.00594,0.00306,0.00149,0.00488,0.07387
bz,0.000115,0,0.00017,0,0.00052,0.00873,0.00019
bé,0,0,0.02165,0.01291,0,0,0
bè,0,0.00022,0.00129,0.00068,0,0,0
bê,0,0,0.00077,0.00544,0,0,0
bà,0,0,0.00026,0,0,0,0
bç,0,0,0,0,0,0,0
bâ,0,0,0.0074,0.00306,0,0,0
bî,0,0,0.0002,0,0,0,0
bô,0,0,0.00007,0,0,0,0
b.,0,0.01585,0,0.01257,0,0,0
"b,",0,0.0058,0,0.00951,0,0,0
b-,0,0.00223,0,0.00374,0,0,0
b',0,0,0,0,0,0,0
b/,0,0.00112,0,0.00034,0,0,0
ca,0.49954,0.51088,0.29405,0.25316,0.77888,0.03294,0.06591
cb,0.00376,0.01205,0.00328,0.0085,0.00104,0.00335,0.00205
cc,0.076565,0.08593,0.07639,0.1118,0.06678,0.00377,0.01056
cd,0.00526,0.00491,0.02389,0.0034,0.00376,0.01252,0.00386
ce,0.5547,0.61176,0.70484,0.93585,0.37469,0.03386,0.11119
cf,0.0038,0.00223,0.00489,0.00442,0.00287,0.00133,0.00188
cg,0.002545,0.01161,0.00234,0.00612,0.00091,0.00125,0.0013
ch,0.53168,0.55619,0.42194,0.5138,0.18784,2.36343,0.74842
ci,0.2384,0.14641,0.28163,0.24093,1.15011,0.01248,0.0739
cj,0.000535,0,0.00167,0,0.00038,0.00024,0.00029
ck,0.14213,0.23792,0.02435,0.07918,0.00674,0.16987,0.34831
cl,0.14022,0.11539,0.14243,0.10194,0.09341,0.01192,0.01172
cm,0.00464,0.0029,0.00764,0.00068,0.00238,0.00236,0.00466
cn,0.002605,0.00625,0.00418,0.00748,0.01286,0.00147,0.00141
co,0.70609,0.62337,0.75261,0.87061,1.12635,0.0438,0.05644
cp,0.005085,0.00089,0.00981,0,0.00188,0.00139,0.00196
cq,0.004555,0.00558,0.0112,0.00136,0.00157,0.00035,0.0008
cr,0.138495,0.20176,0.13054,0.19403,0.13786,0.00899,0.0123
cs,0.027385,0.03839,0.02576,0.01121,0.00336,0.00857,0.00643
ct,0.367955,0.45731,0.244,0.27559,0.20076,0.00595,0.0115
cu,0.13454,0.21806,0.13935,0.15258,0.32111,0.00778,0.0131
cv,0.001195,0.00089,0.00221,0.00034,0.00061,0.00127,0.00115
cw,0.003045,0.01272,0.00081,0.01631,0.00006,0.00132,0.00047
cx,0.000075,0,0.0002,0.00034,0.00002,0.00008,0.00013
cy,0.034105,0.01875,0.01106,0.00918,0.00166,0.00122,0.00888
cz,0.001035,0.00022,0.00074,0,0.0008,0.00158,0.00077
cé,0,0.00112,0.05556,0.04078,0,0,0
cè,0,0,0.02307,0.01155,0,0,0
cê,0,0,0.00106,0,0,0,0
cà,0,0,0.00218,0,0,0,0
cç,0,0,0.00002,0,0,0,0
câ,0,0,0.00069,0.00272,0,0,0
cî,0,0,0.00005,0,0,0,0
cô,0,0,0.01115,0.02209,0,0,0
c.,0,0.02924,0,0.01563,0,0,0
"c,",0,0.01116,0,0.02413,0,0,0
c-,0,0.00312,0,0.00068,0,0,0
c',0,0.00022,0,0.03602,0,0,0
c/,0,0,0,0,0,0,0
da,0.27886,0.22877,0.43784,0.3303,0.70528,0.72396,0.53188
db,0.071995,0.01004,0.00483,0.00136,0.00269,0.04289,0.05033
dc,0.044995,0.00067,0.0102,0.00238,0.01339,0.01075,0.01266
dd,0.06764,0.06205,0.03129,0.00374,0.05509,0.11575,0.16481
de,0.694955,0.76487,2.02781,2.0321,2.56608,2.3075,2.1121
df,0.048035,0.0058,0.00451,0.0051,0.00363,0.03497,0.07212
dg,0.04374,0.01875,0.00589,0.00408,0.00249,0.03705,0.02882
dh,0.055745,0.00045,0.0269,0.00374,0.0059,0.03223,0.04045
di,0.4971,0.46468,0.35874,0.43598,0.54271,0.8066,0.27467
dj,0.011635,0.00558,0.00607,0.00068,0.00388,0.0093,0.04231
dk,0.00625,0,0.00114,0,0.00047,0.02854,0.03599
dl,0.05145,0.03102,0.0166,0.00068,0.00742,0.04926,0.07706
dm,0.05008,0.02232,0.01686,0.02073,0.01603,0.03945,0.0633
dn,0.03663,0.02567,0.00666,0.00238,0.00661,0.03502,0.07135
do,0.245825,0.2551,0.19912,0.27219,0.98288,0.10458,0.18136
dp,0.03723,0.00826,0.01278,0.00985,0.01457,0.0313,0.0441
dq,0.00363,0.00536,0.00407,0.00544,0.0098,0.00421,0.00092
dr,0.108655,0.10423,0.10262,0.19709,0.09509,0.10168,0.21201
ds,0.18373,0.16739,0.03857,0.08122,0.01338,0.11044,0.26744
dt,0.18368,0.01406,0.00585,0.00612,0.00455,0.04958,0.04692
du,0.142005,0.14351,0.45339,0.33268,0.10002,0.13816,0.07171
dv,0.023845,0.01406,0.00675,0.00068,0.00834,0.03169,0.05755
dw,0.06082,0.00848,0.00292,0,0.0008,0.04559,0.00642
dx,0.00034,0.00089,0.0002,0.00034,0.00002,0.00026,0.00034
dy,0.050855,0.09552,0.00896,0.00204,0.01499,0.00715,0.01829
dz,0.001175,0,0.00073,0,0.00037,0.0227,0.00175
dé,0,0,0.2908,0.32147,0,0,0
dè,0,0,0.01762,0.01427,0,0,0
dê,0,0,0.00529,0,0,0,0
dà,0,0,0.00449,0,0,0,0
dç,0,0,0.00001,0,0,0,0
dâ,0,0.00022,0.00074,0,0,0,0
dî,0,0,0.00068,0.00136,0,0,0
dô,0,0,0.00064,0.00068,0,0,0
d.,0,0.12141,0,0.0384,0,0,0
"d,",0,0.09776,0,0.04588,0,0,0
d-,0,0.01138,0,0.00442,0,0,0
d',0,0.00067,0,0.12709,0,0,0
d/,0,0.0058,0,0.00034,0,0,0
ea,0.84511,0.6256,0.40706,0.16277,0.41563,0.26095,0.15027
eb,0.126145,0.02477,0.1243,0.01597,0.12976,0.33479,0.13026
ec,0.536685,0.40955,0.70117,0.32588,0.731,0.15774,0.09158
ed,1.12345,1.20142,0.93626,0.15835,0.52433,0.42829,0.59382
ee,0.402695,0.59123,0.39791,0.1135,0.45036,0.21169,0.08079
ef,0.2346,0.18435,0.23773,0.07408,0.14023,0.22495,0.2529
eg,0.155585,0.05089,0.11873,0.035,0.28087,0.39077,0.16351
eh,0.100565,0.01094,0.05033,0.00748,0.14573,0.39653,0.11031
ei,0.276995,0.12365,0.18421,0.09787,0.12209,1.9819,0.11999
ej,0.01681,0.00402,0.07353,0.00782,0.12881,0.02805,0.02737
ek,0.03612,0.03058,0.02168,0.00136,0.00902,0.19232,0.19159
el,0.532165,0.52405,1.15277,0.47132,2.01259,0.68139,0.72946
em,0.396645,0.34126,0.75477,0.61677,0.45977,0.52614,0.30012
en,1.29361,1.15411,1.96834,2.04603,2.27325,3.61343,2.44106
eo,0.19263,0.03392,0.08093,0.00782,0.12258,0.04413,0.11905
ep,0.24795,0.14195,0.59066,0.105,0.3196,0.11155,0.11637
eq,0.045525,0.09084,0.12646,0.01665,0.11315,0.00791,0.00133
er,1.916035,1.56634,1.2139,1.34295,1.52257,3.9004,2.10295
es,1.3296,1.17062,2.91925,2.79431,2.31339,1.16921,0.71985
et,0.58641,0.45397,0.96611,0.94367,0.3384,0.48059,1.27357
eu,0.05806,0.03058,0.69339,0.74284,0.18497,0.37156,0.07268
ev,0.24966,0.20466,0.19467,0.11622,0.2076,0.13382,0.17926
ew,0.229265,0.12744,0.01944,0.00951,0.00731,0.19915,0.02047
ex,0.172345,0.15311,0.13475,0.1084,0.13944,0.03982,0.08225
ey,0.158925,0.12811,0.02129,0.00918,0.06662,0.0101,0.02374
ez,0.00764,0.00469,0.02908,0.10262,0.08857,0.11917,0.00527
eé,0,0,0.05925,0,0,0,0
eè,0,0,0.00092,0,0,0,0
eê,0,0,0.00153,0,0,0,0
eà,0,0,0.12681,0,0,0,0
eç,0,0,0.00738,0.0085,0,0,0
eâ,0,0.00022,0.0009,0.00068,0,0,0
eî,0,0,0.00077,0,0,0,0
eô,0,0,0.00011,0,0,0,0
e.,0,0.20801,0,0.33642,0,0,0
"e,",0,0.20042,0,0.43666,0,0,0
e-,0,0.0366,0,0.0435,0,0,0
e',0,0.00491,0,0,0,0,0
e/,0,0.0029,0,0.0034,0,0,0
fa,0.178645,0.13057,0.17855,0.3772,0.08849,0.17988,0.15875
fb,0.010405,0,0.00119,0,0.00105,0.01761,0.0033
fc,0.018455,0.00089,0.00427,0.00102,0.00287,0.00893,0.00317
fd,0.0089,0.00201,0.01147,0.00408,0.001,0.0981,0.00297
fe,0.21691,0.19708,0.10205,0.11316,0.1379,0.27836,0.07908
ff,0.143525,0.13994,0.11033,0.11622,0.00254,0.10954,0.05305
fg,0.00763,0.00268,0.00113,0,0.00338,0.03485,0.0021
fh,0.01752,0,0.00081,0,0.00042,0.01302,0.00278
fi,0.28098,0.39906,0.21112,0.26064,0.21502,0.11632,0.21479
fj,0.003155,0,0.00062,0,0.00045,0.00561,0.01024
fk,0.002705,0,0.00045,0,0.00018,0.00965,0.00702
fl,0.065875,0.15958,0.0401,0.05539,0.02302,0.06092,0.11715
fm,0.014815,0.00067,0.00267,0.00068,0.00162,0.02091,0.00342
fn,0.00639,0.00223,0.0015,0,0.00087,0.01782,0.0032
fo,0.46269,0.68943,0.18612,0.17467,0.09349,0.10877,0.1391
fp,0.013985,0.00045,0.00362,0.00306,0.00091,0.01394,0.0022
fq,0.000555,0,0.00122,0,0.00029,0.00029,0.00005
fr,0.203025,0.1781,0.11525,0.09923,0.09381,0.15123,0.27576
fs,0.02643,0.00335,0.01931,0.01155,0.00146,0.04664,0.0123
ft,0.1992,0.1473,0.00507,0.02175,0.00249,0.18917,0.18547
fu,0.08428,0.07968,0.06938,0.05743,0.12835,0.05336,0.03504
fv,0.002845,0,0.00067,0,0.0001,0.0091,0.00325
fw,0.011745,0.03504,0.00042,0.03466,0.00004,0.01291,0.00145
fx,0.00024,0.00112,0.00016,0.00034,0.00002,0.00048,0.00022
fy,0.013685,0.01741,0.00067,0,0.00049,0.00062,0.02385
fz,0.000365,0,0.00016,0,0.00015,0.01182,0.00034
fé,0,0,0.04714,0.04214,0,0,0
fè,0,0,0.00329,0.00306,0,0,0
fê,0,0,0.00286,0.00204,0,0,0
fà,0,0,0.00096,0,0,0,0
fç,0,0,0,0,0,0,0
fâ,0,0,0.0002,0.00102,0,0,0
fî,0,0,0.00006,0,0,0,0
fô,0,0,0.00001,0,0,0,0
f.,0,0.01228,0,0.00816,0,0,0
"f,",0,0.00848,0,0.00985,0,0,0
f-,0,0.00491,0,0.0017,0,0,0
f',0,0.00045,0,0,0,0,0
f/,0,0.00089,0,0,0,0,0
ga,0.204005,0.07164,0.14199,0.11384,0.25258,0.20358,0.47012
gb,0.01394,0.00134,0.00298,0.00102,0.00063,0.02962,0.02733
gc,0.01514,0.00268,0.00288,0.00102,0.00139,0.00261,0.00403
gd,0.011755,0.00424,0.00866,0,0.00244,0.08368,0.06417
ge,0.35939,0.39259,0.27563,0.32962,0.13598,1.45465,0.62118
gf,0.017545,0.00134,0.00185,0.00102,0.00052,0.02288,0.04849
gg,0.029355,0.01518,0.0059,0.00204,0.00166,0.03336,0.11309
gh,0.227995,0.2214,0.00997,0.00646,0.00326,0.02915,0.06342
gi,0.157955,0.11695,0.12603,0.06389,0.11924,0.15839,0.17588
gj,0.002065,0,0.0006,0,0.00069,0.00443,0.03173
gk,0.002025,0.00045,0.00099,0.00306,0.00067,0.02422,0.02094
gl,0.060115,0.08794,0.05063,0.03704,0.04386,0.09594,0.06756
gm,0.018555,0.00469,0.0102,0.01121,0.0032,0.03094,0.04176
gn,0.060875,0.1299,0.10923,0.12369,0.02284,0.04466,0.07291
go,0.16075,0.09508,0.05331,0.02922,0.1872,0.02958,0.12819
gp,0.014255,0.00156,0.00355,0.00034,0.00138,0.0071,0.03032
gq,0.000695,0.00022,0.00109,0,0.00062,0.00026,0.00042
gr,0.179215,0.11673,0.17633,0.13898,0.16132,0.15933,0.22706
gs,0.07093,0.04263,0.00936,0.01019,0.00235,0.1764,0.20418
gt,0.092665,0.02701,0.01049,0.01359,0.00542,0.19275,0.12808
gu,0.08646,0.10088,0.0968,0.07544,0.23287,0.10489,0.07566
gv,0.00218,0,0.00107,0.00068,0.00019,0.03559,0.02518
gw,0.018455,0.00022,0.00108,0,0.00027,0.02517,0.00263
gx,0.00018,0,0.00022,0,0.00009,0.00012,0.00052
gy,0.0243,0.00357,0.0046,0.0017,0.00146,0.00369,0.01079
gz,0.00039,0.00022,0.00041,0,0.00022,0.02569,0.0005
gé,0,0,0.0739,0.06966,0,0,0
gè,0,0,0.01031,0.00646,0,0,0
gê,0,0,0.00061,0.00442,0,0,0
gà,0,0,0.0007,0,0,0,0
gç,0,0,0,0,0,0,0
gâ,0,0,0.00093,0.00034,0,0,0
gî,0,0,0.00022,0.00034,0,0,0
gô,0,0,0.00004,0,0,0,0
g.,0,0.08057,0,0.01223,0,0,0
"g,",0,0.05111,0,0.00884,0,0,0
g-,0,0.00826,0,0.00068,0,0,0
g',0,0.00022,0,0,0,0,0
g/,0,0.00603,0,0.00034,0,0,0
ha,0.878825,1.06215,0.22632,0.2654,0.40277,0.58826,0.59047
hb,0.01392,0.0029,0.00181,0,0.00132,0.04413,0.04127
hc,0.01728,0.00022,0.00273,0,0.00284,0.00399,0.01006
hd,0.011015,0.0125,0.00464,0.01733,0.00187,0.13837,0.0554
he,2.70164,3.3851,0.21017,0.27049,0.09509,0.89396,0.29031
hf,0.010765,0.00223,0.00147,0,0.0005,0.02934,0.04685
hg,0.00511,0,0.00086,0,0.00045,0.03612,0.02054
hh,0.01564,0,0.00108,0.00102,0.00106,0.02879,0.04344
hi,0.69955,0.6218,0.14174,0.08937,0.07965,0.21609,0.11115
hj,0.00222,0,0.00066,0,0.0003,0.0078,0.02776
hk,0.00255,0.00112,0.00121,0.00068,0.00049,0.03385,0.03409
hl,0.01982,0.00692,0.00719,0.00102,0.00368,0.21262,0.03381
hm,0.022015,0.01986,0.0069,0.00136,0.00193,0.13239,0.0471
hn,0.028885,0.02053,0.01862,0.01971,0.00333,0.18294,0.0262
ho,0.470575,0.4745,0.11097,0.10806,0.17105,0.13864,0.17498
hp,0.01161,0.00134,0.00287,0,0.00175,0.01063,0.02464
hq,0.00138,0,0.00096,0,0.00067,0.00057,0.0004
hr,0.08663,0.04866,0.01945,0.01869,0.00366,0.42842,0.03105
hs,0.03581,0.02321,0.00718,0.00136,0.00236,0.12713,0.08373
ht,0.161665,0.14016,0.00702,0.00646,0.00235,0.45541,0.0458
hu,0.068895,0.02634,0.04188,0.02617,0.04071,0.10259,0.10628
hv,0.002395,0.00067,0.00099,0,0.00047,0.03057,0.03034
hw,0.01861,0.00134,0.00167,0,0.0005,0.09717,0.00759
hx,0.00009,0,0.00006,0,0,0.00006,0.00032
hy,0.04177,0.01719,0.01735,0.00884,0.00207,0.0056,0.01503
hz,0.00062,0,0.00067,0,0.00007,0.02815,0.00137
hé,0,0.00022,0.06107,0.03806,0,0,0
hè,0,0,0.01567,0.00646,0,0,0
hê,0,0,0.00089,0.00102,0,0,0
hà,0,0,0.00093,0,0,0,0
hç,0,0,0.00003,0,0,0,0
hâ,0,0,0.00886,0.0017,0,0,0
hî,0,0,0.00008,0,0,0,0
hô,0,0,0.00632,0.01155,0,0,0
h.,0,0.02232,0,0.0051,0,0,0
"h,",0,0.02053,0,0.00578,0,0,0
h-,0,0.00625,0,0.00034,0,0,0
h',0,0.00112,0,0,0,0,0
h/,0,0.00045,0,0,0,0,0
ia,0.258795,0.1906,0.18078,0.09549,0.77571,0.08716,0.15744
ib,0.079345,0.15021,0.08228,0.06796,0.11846,0.07135,0.07833
ic,0.597595,0.5323,0.2927,0.18962,0.66337,0.80002,0.15031
id,0.296875,0.35041,0.18195,0.16515,0.57998,0.16743,0.36104
ie,0.336925,0.22698,0.76298,0.75065,0.60245,1.48323,0.24459
if,0.168005,0.29706,0.12837,0.14102,0.08547,0.05763,0.12127
ig,0.23768,0.38991,0.14912,0.16583,0.1889,0.38208,0.53182
ih,0.008105,0.00156,0.0041,0,0.00856,0.09037,0.0408
ii,0.01841,0.00067,0.02554,0.02005,0.01734,0.01663,0.04417
ij,0.00309,0.00156,0.0062,0.00034,0.03048,0.0077,0.02512
ik,0.051345,0.05513,0.01083,0.00272,0.00544,0.09409,0.35292
il,0.422485,0.45798,0.69585,0.85634,0.27403,0.27349,0.65924
im,0.280805,0.32809,0.18982,0.2518,0.27691,0.28636,0.10065
in,2.23015,2.18457,0.87415,0.95216,0.77916,1.71394,1.2156
io,0.66272,0.67492,0.62405,0.48832,0.97817,0.18119,0.25126
ip,0.083325,0.11807,0.11483,0.12913,0.09098,0.03281,0.0671
iq,0.00902,0.00491,0.24628,0.13423,0.01852,0.00214,0.00201
ir,0.292655,0.35666,0.43295,0.66366,0.24842,0.21895,0.10792
is,0.996095,1.13424,0.93967,1.04901,0.55571,0.69793,0.67274
it,1.00032,1.14451,0.86433,1.19377,0.33399,0.81229,0.36656
iu,0.015375,0.02366,0.01896,0.00204,0.0339,0.02565,0.03916
iv,0.249485,0.15199,0.19387,0.13525,0.18324,0.07412,0.20882
iw,0.01097,0,0.00128,0,0.00056,0.01599,0.00611
ix,0.021185,0.02946,0.038,0.0401,0.00371,0.00498,0.01184
iy,0.001245,0,0.00275,0,0.00658,0.0006,0.00248
iz,0.053745,0.06339,0.01016,0.00816,0.10833,0.05368,0.0089
ié,0,0,0.07051,0.03636,0,0,0
iè,0,0.00022,0.12331,0.09039,0,0,0
iê,0,0,0.00092,0,0,0,0
ià,0,0,0.00673,0,0,0,0
iç,0,0,0.00018,0,0,0,0
iâ,0,0,0.00011,0,0,0,0
iî,0,0,0.00002,0,0,0,0
iô,0,0,0.0001,0,0,0,0
i.,0,0.00558,0,0.05777,0,0,0
"i,",0,0.00714,0,0.09209,0,0,0
i-,0,0.01696,0,0.0333,0,0,0
i',0,0.00647,0,0,0,0,0
i/,0,0.00112,0,0.00068,0,0,0
ja,0.032735,0.01875,0.04397,0.02447,0.09222,0.10409,0.12118
jb,0.000265,0,0.0003,0.00102,0.00012,0.00018,0.00149
jc,0.000345,0.00022,0.00183,0,0.00036,0.00016,0.00037
jd,0.0003,0,0.00058,0,0.00051,0.00023,0.01605
je,0.043145,0.03214,0.07983,0.35137,0.10706,0.06712,0.08519
jf,0.00019,0,0.00019,0.00034,0.0001,0.0001,0.00209
jg,0.00016,0,0.00017,0,0.00014,0.00012,0.0007
jh,0.000305,0,0.00018,0.00034,0.00011,0.00065,0.00209
ji,0.005515,0.00424,0.0049,0.00034,0.00795,0.00179,0.01007
jj,0.00024,0,0.00024,0,0.00013,0.00008,0.00057
jk,0.00019,0,0.00039,0.00034,0.00029,0.0005,0.00535
jl,0.000195,0,0.00037,0.00034,0.00031,0.00017,0.01052
jm,0.000325,0.00022,0.0005,0.00034,0.00047,0.00038,0.00171
jn,0.00024,0,0.0005,0,0.00053,0.00026,0.00461
jo,0.05836,0.02634,0.1011,0.22292,0.13199,0.01851,0.09564
jp,0.00051,0.00045,0.00052,0,0.00055,0.00052,0.00141
jq,0.00001,0,0.00006,0,0.00007,0.00001,0.00002
jr,0.00105,0,0.0008,0,0.00115,0.00034,0.00217
js,0.000515,0,0.00066,0,0.0005,0.00048,0.01969
jt,0.000285,0,0.00025,0,0.00064,0.00012,0.00443
ju,0.06317,0.05602,0.05613,0.0785,0.1132,0.04174,0.10268
jv,0.000135,0,0.00015,0,0.00066,0.00025,0.00187
jw,0.000205,0,0.00008,0,0.00003,0.00014,0.00011
jx,0.000015,0,0.00003,0,0,0.00001,0.00002
jy,0.000085,0,0.00017,0,0.0002,0.00002,0.00074
jz,0.00004,0,0.00006,0,0.00002,0.00005,0.00017
jé,0,0,0.003,0.00102,0,0,0
jè,0,0,0.00002,0,0,0,0
jê,0,0,0,0,0,0,0
jà,0,0,0.00538,0.03432,0,0,0
jç,0,0,0,0,0,0,0
jâ,0,0,0.00005,0,0,0,0
jî,0,0,0.00002,0,0,0,0
jô,0,0,0.00004,0,0,0,0
j.,0,0.00022,0,0.00136,0,0,0
"j,",0,0.00045,0,0.00034,0,0,0
j-,0,0,0,0,0,0,0
j',0,0,0,0.01427,0,0,0
j/,0,0,0,0,0,0,0
ka,0.04124,0.00848,0.0257,0.00985,0.01892,0.20333,0.79927
kb,0.005745,0.0067,0.00132,0.01121,0.00032,0.01013,0.01941
kc,0.004965,0.00223,0.00172,0,0.00094,0.00227,0.00334
kd,0.00355,0.00022,0.00276,0,0.00121,0.01435,0.01937
ke,0.23004,0.30354,0.02772,0.07476,0.0099,0.2537,0.34186
kf,0.00701,0.00156,0.0012,0.00034,0.00034,0.01053,0.03523
kg,0.0037,0.01004,0.00196,0.00476,0.00029,0.01526,0.01304
kh,0.00911,0.00156,0.0059,0,0.00161,0.01055,0.04419
ki,0.11617,0.08481,0.02383,0.00714,0.01648,0.06532,0.1482
kj,0.00095,0,0.00056,0,0.00022,0.00089,0.00814
kk,0.0016,0.00045,0.00177,0,0.00032,0.00897,0.0207
kl,0.01507,0.01942,0.00508,0.00238,0.00186,0.10658,0.13637
km,0.00651,0.00692,0.00744,0.00136,0.00074,0.00965,0.03846
kn,0.047735,0.06428,0.00227,0,0.001,0.01952,0.09313
ko,0.02337,0.00692,0.01394,0.00408,0.00961,0.2103,0.3784
kp,0.00471,0.00022,0.0023,0.00034,0.00106,0.00551,0.0188
kq,0.000165,0,0.00075,0,0.00046,0.00037,0.00013
kr,0.007225,0,0.0051,0.00034,0.00154,0.09302,0.19704
ks,0.061075,0.08347,0.00722,0.0034,0.00234,0.0439,0.14916
kt,0.01721,0.00022,0.00197,0,0.00103,0.20059,0.30848
ku,0.007375,0.00558,0.00621,0.00544,0.00329,0.09744,0.1302
kv,0.000925,0,0.00086,0.00068,0.00026,0.00712,0.05667
kw,0.00941,0.00089,0.00104,0,0.00023,0.0125,0.00223
kx,0.00007,0,0.00011,0,0.00007,0.00006,0.0003
ky,0.009375,0.00134,0.00407,0.00306,0.00203,0.00252,0.05023
kz,0.000135,0,0.00013,0,0.00006,0.00913,0.00033
ké,0,0,0.0017,0.0017,0,0,0
kè,0,0,0.00008,0,0,0,0
kê,0,0,0.00001,0,0,0,0
kà,0,0,0.00045,0,0,0,0
kç,0,0,0.00002,0,0,0,0
kâ,0,0,0.0001,0,0,0,0
kî,0,0,0.00001,0,0,0,0
kô,0,0,0.00005,0,0,0,0
k.,0,0.02879,0,0.00374,0,0,0
"k,",0,0.02098,0,0.00476,0,0,0
k-,0,0.00692,0,0.00272,0,0,0
k',0,0,0,0,0,0,0
k/,0,0.00022,0,0,0,0,0
la,0.531775,0.58855,1.25119,1.20295,1.79866,0.39869,0.87951
lb,0.031835,0.00134,0.02083,0.01563,0.04237,0.07776,0.07359
lc,0.03283,0.04932,0.03222,0.01427,0.1775,0.01942,0.01248
ld,0.244775,0.26492,0.08008,0.02073,0.19925,0.15077,0.20262
le,0.765945,0.90324,2.08131,2.39502,0.72511,0.72517,0.68137
lf,0.05799,0.03214,0.02909,0.00102,0.04721,0.05404,0.06986
lg,0.01376,0.00201,0.01996,0.00816,0.09761,0.06245,0.03514
lh,0.01554,0.00357,0.03308,0.00408,0.02966,0.01973,0.04125
li,0.58149,0.60372,0.57098,0.4805,0.53669,0.59909,0.64308
lj,0.00258,0.00045,0.00444,0,0.02003,0.00423,0.08798
lk,0.023315,0.02522,0.00455,0.00034,0.00362,0.0354,0.10888
